Time,Dragon_Fruit,Ding,SpaceXNaut_Dog,Bake_Musk_Mixer,Raca_Punk
09/01/2022 21:54:56,135000,55555,89000,620000,2150000
09/01/2022 22:00:22,135000,55555,89000,620000,2150000
09/01/2022 22:05:47,133000,55555,89000,620000,2150000
09/01/2022 22:11:12,135000,55555,89000,620000,2150000
09/01/2022 22:16:39,135000,55555,89888,620000,2150000
09/01/2022 22:22:05,135000,55555,89888,620000,2150000
09/01/2022 22:27:31,135000,55555,89888,620000,2150000
09/01/2022 22:32:56,135000,55555,89888,620000,2150000
09/01/2022 22:38:21,135000,55555,89888,595000,2150000
09/01/2022 22:43:47,135000,54500,89992,595000,2150000
09/01/2022 22:49:12,135000,54500,89992,595000,2150000
09/01/2022 22:54:37,135000,54500,89992,595000,2150000
09/01/2022 23:00:03,135000,54500,89992,595000,2150000
09/01/2022 23:05:28,135000,54500,89992,595000,2150000
09/01/2022 23:10:53,135000,54500,89992,595000,2150000
09/01/2022 23:16:19,135000,54500,89992,640000,2150000
09/01/2022 23:21:44,134800,54500,89992,640000,2150000
09/01/2022 23:27:10,134800,54500,89992,640000,2150000
09/01/2022 23:32:35,134800,54500,89992,640000,2150000
09/01/2022 23:38:00,134800,54500,89992,640000,2130000
09/01/2022 23:43:25,134800,54500,89992,640000,2130000
09/01/2022 23:48:51,134800,54500,89992,640000,2130000
09/01/2022 23:54:16,134800,54500,89992,635550,2130000
09/01/2022 23:59:41,134800,54500,89992,635550,2130000
10/01/2022 00:05:07,134800,54500,89992,630000,2130000
10/01/2022 00:10:32,137000,54500,89000,630000,2130000
10/01/2022 00:15:57,137000,54500,89000,630000,2130000
10/01/2022 00:21:22,137000,54500,89000,630000,2130000
10/01/2022 00:26:48,138000,54500,89000,630000,2130000
10/01/2022 00:32:13,138000,54500,89000,630000,2130000
10/01/2022 00:37:39,138000,54500,89000,630000,2130000
10/01/2022 00:43:04,138000,55000,89000,630000,2130000
10/01/2022 00:48:29,138000,55000,89000,630000,2130000
10/01/2022 00:53:54,138000,55000,89000,630000,2130000
10/01/2022 00:59:20,138000,55000,89000,630000,2130000
10/01/2022 01:04:45,138000,55000,89000,630000,2130000
10/01/2022 01:10:10,138000,55000,89000,630000,2130000
10/01/2022 01:15:36,138000,55000,89000,630000,2130000
10/01/2022 01:21:01,138000,55000,89000,630000,2130000
10/01/2022 01:26:27,138000,55000,89000,630000,2130000
10/01/2022 01:31:52,138000,55000,89000,630000,2130000
10/01/2022 01:37:18,138000,55000,89000,630000,2130000
10/01/2022 01:42:43,138000,55000,89000,630000,2130000
10/01/2022 01:48:08,138000,55000,89000,630000,2130000
10/01/2022 01:53:33,138000,55000,89000,630000,2130000
10/01/2022 01:58:59,138000,55000,89000,630000,2130000
10/01/2022 02:04:24,138000,55000,89000,630000,2130000
10/01/2022 02:09:49,137600,55000,89000,630000,2130000
10/01/2022 02:15:14,137600,55556,89000,630000,2130000
10/01/2022 02:20:39,137600,55556,89000,630000,2130000
